user_id,location,age
8,"timmins, ontario, canada",
11400,"ottawa, ontario, canada",49.0
11676,"n/a, n/a, n/a",
67544,"toronto, ontario, canada",30.0
85526,"victoria, british columbia, canada",36.0
96054,"ottawa, ontario, canada",29.0
116866,"ottawa, ,",
177458,"ottawa, ontario, canada",29.0
210926,"guelph, ontario, canada",
219008,"halifax, nova scotia, canada",60.0
263325,"fredericton, new brunswick, canada",27.0
2954,"wichita, kansas, usa",71.0
152827,"ottawa, ontario, canada",40.0
35704,"kansas city, missouri, usa",53.0
83160,"oregon city, oregon, usa",65.0
110912,"milpitas, california, usa",36.0
137688,"medford, new york, usa",46.0
192665,"vacaville, california, usa",47.0
197659,"indiana, pennsylvania, usa",49.0
208059,"payson, arizona, usa",
209163,"columbus, ohio, usa",
29526,"knoxville, tennessee, usa",26.0
36836,"raleigh, north carolina, usa",56.0
46398,"san antonio, texas, usa",37.0
49300,"loveland, colorado, usa",
49635,"seattle, washington, usa",
67958,"idaho falls, idaho, usa",39.0
113270,"evanston, illinois, usa",25.0
113519,"pleasanton, california, usa",
115097,"seattle, ,",27.0
136509,"santa barbara, california, usa",31.0
148712,"homer, alaska, usa",
180297,"ann arbor, michigan, usa",41.0
188589,"klang, selangor, malaysia",20.0
194722,"dallas, texas, usa",
200674,"pittsburg, missouri, usa",58.0
207148,"san diego, california, usa",42.0
211919,"jacksonville, florida, usa",38.0
213191,"san diego, california, usa",
230522,"colorado springs, colorado, usa",52.0
236322,"houston, texas, usa",
238557,"kuala lumpur, selangor, malaysia",21.0
242247,"livonia, michigan, usa",42.0
245827,"albuquerque, ,",
252282,"sammamish, washington, usa",42.0
255661,"parker, colorado, usa",
52614,"toccoa, ga., usa",33.0
225910,"annville, pennsylvania, usa",19.0
274634,"wahiawa, hawaii, usa",33.0
166596,"greenwood, british columbia, canada",57.0
223066,"ottawa, ontario, canada",51.0
92861,"vancouver, british columbia, canada",
3363,"knoxville, tennessee, usa",29.0
148514,"barstow, california, usa",
174304,"st. louis, missouri, usa",26.0
177090,"ashland, missouri, usa",37.0
176875,"tampere, pirkanmaa, finland",31.0
213915,"sheffield, s yorkshire, united kingdom",29.0
35826,"prosperity, south carolina, usa",
226745,"humble, ,",38.0
243,"arden hills, minnesota, usa",
388,"nashville, tennessee, usa",35.0
2977,"richland, washington, usa",25.0
3329,"grantsville, utah, usa",
7346,"sunnyvale, california, usa",49.0
7352,"houston, texas, usa",53.0
9747,"o`fallon, missouri, usa",
9856,"glendale, colorado, usa",22.0
11224,"tumwater, washington, usa",51.0
12685,"charlotte, north carolina, usa",
13552,"cordova, tennessee, usa",32.0
13582,"lisboa, lisboa, portugal",29.0
14521,"providence, rhode island, usa",
16666,"rogersville, tennessee, usa",
16795,"mechanicsville, maryland, usa",47.0
17761,"pinckney, michigan, usa",
20462,"bossier city, louisiana, usa",
20801,"rio de janeiro, rio de janeiro, brazil",29.0
20916,"elmwood, massachusetts, usa",
23511,"chapel hill, north carolina, usa",56.0
23768,"st. louis, missouri, usa",45.0
26240,"sacramento, california, usa",
26544,"woodbridge, virginia, usa",37.0
26593,"peoria, arizona, usa",
27684,"knox, pennsylvania, usa",
28619,"hartford, connecticut, usa",
